Harga,LuasTanah,LuasBangunan,JumlahKamarTidur,JumlahKamarMandi,Garasi,Kota
14000000000.0,661,800,4,4,TIDAK ADA,JAKSEL
12900000000.0,539,610,4,4,ADA,JAKSEL
17640000000.0,503,541,4,3,ADA,JAKSEL
12000000000.0,600,500,4,4,ADA,JAKSEL
10000000000.0,237,250,4,3,ADA,JAKSEL
3790000000.0,248,248,4,2,TIDAK ADA,JAKSEL
9000000000.0,600,400,4,3,TIDAK ADA,JAKSEL
250000000000.0,6000,1500,5,5,ADA,JAKSEL
9500000000.0,274,258,3,3,ADA,JAKSEL
17500000000.0,518,450,5,7,ADA,JAKSEL
8250000000.0,159,278,3,3,ADA,JAKSEL
4300000000.0,123,190,3,3,TIDAK ADA,JAKSEL
4300000000.0,152,230,4,2,TIDAK ADA,JAKSEL
5620000000.0,122,311,3,3,ADA,JAKSEL
3250000000.0,240,200,3,3,ADA,JAKSEL
6500000000.0,144,285,4,3,ADA,JAKSEL
25000000000.0,1020,800,5,3,ADA,JAKSEL
23000000000.0,752,400,4,3,ADA,JAKSEL
17700000000.0,860,750,5,4,ADA,JAKSEL
7700000000.0,190,300,3,2,ADA,JAKSEL
16000000000.0,465,640,4,4,ADA,JAKSEL
6000000000.0,200,272,4,4,ADA,JAKSEL
15000000000.0,500,765,4,4,ADA,JAKSEL
25000000000.0,685,450,4,4,ADA,JAKSEL
20000000000.0,910,450,5,4,ADA,JAKSEL
15000000000.0,580,220,4,3,TIDAK ADA,JAKSEL
8500000000.0,246,221,3,3,ADA,JAKSEL
4000000000.0,125,125,3,3,ADA,JAKSEL
11500000000.0,400,300,3,3,ADA,JAKSEL
27500000000.0,1010,605,6,6,ADA,JAKSEL
6000000000.0,182,500,4,3,ADA,JAKSEL
17500000000.0,477,550,4,4,ADA,JAKSEL
17000000000.0,300,475,5,4,ADA,JAKSEL
7500000000.0,259,410,4,3,ADA,JAKSEL
28000000000.0,572,450,8,7,ADA,JAKSEL
7000000000.0,349,349,9,5,ADA,JAKSEL
9000000000.0,200,480,4,3,ADA,JAKSEL
39000000000.0,973,1100,4,4,ADA,JAKSEL
42000000000.0,2131,1600,5,5,ADA,JAKSEL
4000000000.0,219,103,4,2,ADA,JAKSEL
9000000000.0,490,350,4,3,ADA,JAKSEL
25000000000.0,1000,800,4,3,ADA,JAKSEL
3800000000.0,153,180,4,3,TIDAK ADA,JAKSEL
15000000000.0,506,400,3,3,TIDAK ADA,JAKSEL
17000000000.0,465,640,4,4,ADA,JAKSEL
7300000000.0,278,350,4,4,ADA,JAKSEL
8500000000.0,250,400,4,4,ADA,JAKSEL
55000000000.0,2641,1000,4,3,ADA,JAKSEL
17000000000.0,851,450,4,3,ADA,JAKSEL
17000000000.0,392,327,4,4,ADA,JAKSEL
10000000000.0,402,236,3,3,ADA,JAKSEL
12000000000.0,254,370,4,4,ADA,JAKSEL
10500000000.0,380,300,3,3,ADA,JAKSEL
17500000000.0,417,560,4,4,ADA,JAKSEL
5250000000.0,135,250,3,4,ADA,JAKSEL
13500000000.0,565,380,3,3,ADA,JAKSEL
10500000000.0,220,350,4,3,ADA,JAKSEL
